日期, 自營bc, 自營bp, 自營sc, 自營sp, 外資bc, 外資bp, 外資sc, 外資sp
2020/5/4,83196,176654,94251,205482,73442,95266,55894,72019
2020/5/5,87168,187917,99603,212647,73449,93700,55481,72199
2020/5/6,71944,164731,84325,194519,70482,88091,52104,72060
2020/5/7,83044,170929,91749,203515,75378,93783,58691,72585
2020/5/8,84930,173509,93718,209647,79282,96577,63005,73758
2020/5/11,90376,180039,94988,220417,91011,96977,72906,76002
2020/5/12,89503,185519,106065,221695,91811,102138,73393,78688
2020/5/13,74290,165049,83177,204170,81724,101485,66935,76253
2020/5/14,79352,170164,91953,206650,85162,110393,67816,79106
2020/5/15,92758,173736,106428,212984,82680,113266,63135,82449
2020/5/18,92665,187213,116885,219547,82673,118331,65016,81213
2020/5/19,89223,183830,109571,232496,82831,119759,63675,82599
2020/5/20,42658,145500,56441,165186,39936,62645,30845,50292
2020/5/21,53713,157986,66420,181526,55842,64316,37976,54505
2020/5/22,57825,165871,81485,182477,56702,81126,40618,55584
2020/5/25,65501,170019,87627,193279,60167,91497,42397,59923
2020/5/26,66783,169782,84929,209867,63534,90699,41953,63662
2020/5/27,52306,155948,66988,183611,61884,81219,45968,61201
2020/5/28,60389,164011,78400,195185,64974,86060,47528,63656
2020/5/29,65779,172799,84648,201806,70857,85888,48052,64989
2020/6/1,66623,173350,81686,214090,77175,92215,52055,68305
2020/6/2,75504,177401,92225,222967,78966,96226,51900,68777
2020/6/3,58247,160516,73733,195849,75238,83414,51220,68517
2020/6/4,65516,169407,81333,201276,78697,85894,54439,74583
2020/06/05,72505,172621,87256,210292,83408,87335,58193,77118
2020/06/08,82052,184171,99114,223992,87747,90213,59645,87137
2020/06/09,86603,188328,106671,227461,88426,90999,60032,90068
2020/06/10,62735,168266,82637,204794,83969,89269,59396,86775
2020/06/11,63725,170429,93111,211123,89707,99882,64706,86364
2020/06/12,63595,181708,103501,217917,94676,111175,65519,89754
2020/06/16,75465,184559,112289,253186,103886,124994,70913,95095
